id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-08-28T14:26:32;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2021-08-28T18:23:24;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2021-08-28T03:26:48;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2021-08-27T22:56:25;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2021-08-28T17:34:19;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2021-08-28T02:20:31;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2021-08-28T04:50:39;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2021-08-28T18:54:03;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2021-08-28T10:14:42;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2021-08-27T22:54:52;32637;8639
